PULocationID,mean,std,median,p25,p75,p95
177,1.3929219600725953,0.7250949959929088,1.0,1.0,2.0,3.0
178,1.161038961038961,0.5052216520982823,1.0,1.0,1.0,2.0
179,5.114620298083747,3.7318714639250925,4.0,2.0,7.0,12.0
180,1.2390852390852392,0.6012230546720257,1.0,1.0,1.0,2.0
181,7.938739376770538,8.332456246698563,6.0,3.0,10.0,22.0
182,1.4981458590852905,0.8845813595532606,1.0,1.0,2.0,3.0
183,1.1107011070110702,0.37849099402010306,1.0,1.0,1.0,2.0
184,1.0379746835443038,0.192356371638255,1.0,1.0,1.0,1.0
185,1.202401372212693,0.4941524697558551,1.0,1.0,1.0,2.0
186,343.8949864498645,180.90030452759547,391.0,164.0,475.25,593.0
187,1.0625,0.25,1.0,1.0,1.0,1.25
188,2.1292647765497357,1.46008228415192,2.0,1.0,3.0,5.0
189,2.427236971484759,1.964732217520141,2.0,1.0,3.0,6.0
190,1.414337788578372,1.0034677186648326,1.0,1.0,2.0,3.0
191,1.4192399049881235,0.7594104928938188,1.0,1.0,2.0,3.0
192,1.151133501259446,0.3986466687128359,1.0,1.0,1.0,2.0
193,7.505767214260748,4.9509183594294806,7.0,4.0,10.0,17.0
194,1.4732949876746098,0.7974992199609618,1.0,1.0,2.0,3.0
195,1.960698689956332,2.801602850581189,1.0,1.0,2.0,5.0
196,1.6670493685419059,0.9498899944635826,1.0,1.0,2.0,4.0
197,1.7544610992148466,1.361599536818452,1.0,1.0,2.0,4.0
198,1.2869147659063624,0.7108595918414238,1.0,1.0,1.0,2.0
199,1.0,0.0,1.0,1.0,1.0,1.0
200,1.2681992337164751,0.5917735912174243,1.0,1.0,1.0,2.0
201,1.0909090909090908,0.28879549112895386,1.0,1.0,1.0,2.0
202,1.279867256637168,0.5784938477299023,1.0,1.0,1.0,2.0
203,1.3093145869947276,0.70406344830638,1.0,1.0,1.0,2.6000000000000227
204,1.0,0.0,1.0,1.0,1.0,1.0
205,1.645662100456621,1.0725581914373452,1.0,1.0,2.0,4.0
