zone_id,count,mean,std,variance,min,max,median,q25,q75,iqr,skewness,kurtosis,LocationID,Zone,Borough
156,4,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,156,Mariners Harbor,Staten Island
157,179,1.441340782122905,0.9543927954119396,0.9108656079342162,1,7,1.0,1.0,2.0,1.0,3.0517030495430455,10.930422237556424,157,Maspeth,Queens
158,654,39.97553516819572,30.453278264644112,927.4021570638455,1,169,37.0,17.0,56.75,39.75,1.09360890324253,1.8250461872584607,158,Meatpacking/West Village West,Manhattan
159,167,1.1377245508982037,0.3456470737245511,0.11947189957434526,1,2,1.0,1.0,1.0,0.0,2.1216245965320466,2.5314657711794504,159,Melrose South,Bronx
160,45,1.0888888888888888,0.2877990320141519,0.08282828282828283,1,2,1.0,1.0,1.0,0.0,2.989812405751102,7.259946519730981,160,Middle Village,Queens
161,675,200.50074074074075,169.8273724220652,28841.336423782832,1,648,178.0,33.0,325.0,292.0,0.5276096697444156,-0.8412549850705058,161,Midtown Center,Manhattan
162,677,150.52732644017726,110.89105710137513,12296.82654506044,1,488,155.0,43.0,221.0,178.0,0.42991358890745546,-0.5321119211171088,162,Midtown East,Manhattan
163,675,124.06222222222222,91.49058574476868,8370.52727992087,1,383,126.0,29.0,193.0,164.0,0.2951542113656023,-0.9504546864551906,163,Midtown North,Manhattan
164,674,99.20623145400593,62.060416494213165,3851.495295435205,1,249,107.0,41.0,147.75,106.75,0.02739066871428674,-1.0553583774026205,164,Midtown South,Manhattan
165,91,1.3186813186813187,0.6124472018807622,0.37509157509157504,1,4,1.0,1.0,1.5,0.5,2.0662180091870495,4.345816942474087,165,Midwood,Brooklyn
166,655,22.38167938931298,15.902732832706075,252.8969115484278,1,76,23.0,7.0,33.0,26.0,0.42462923032140526,-0.5347864013523664,166,Morningside Heights,Manhattan
167,122,1.2049180327868851,0.4969082026097894,0.2469177618208915,1,4,1.0,1.0,1.0,0.0,2.8476222595619634,9.626369186716833,167,Morrisania/Melrose,Bronx
